Time (CET/CEST),France (FR) > Belgium (BE) [MW],Belgium (BE) > France (FR) [MW]
01.01.2022 00:00 - 01.01.2022 01:00,0,2618
01.01.2022 01:00 - 01.01.2022 02:00,0,2361
01.01.2022 02:00 - 01.01.2022 03:00,0,2604
01.01.2022 03:00 - 01.01.2022 04:00,0,2893
01.01.2022 04:00 - 01.01.2022 05:00,0,2625
01.01.2022 05:00 - 01.01.2022 06:00,0,2668
01.01.2022 06:00 - 01.01.2022 07:00,0,2931
01.01.2022 07:00 - 01.01.2022 08:00,0,2670
01.01.2022 08:00 - 01.01.2022 09:00,0,2025
01.01.2022 09:00 - 01.01.2022 10:00,0,1775
01.01.2022 10:00 - 01.01.2022 11:00,0,764
01.01.2022 11:00 - 01.01.2022 12:00,47,0
01.01.2022 12:00 - 01.01.2022 13:00,0,317
01.01.2022 13:00 - 01.01.2022 14:00,0,484
01.01.2022 14:00 - 01.01.2022 15:00,296,0
01.01.2022 15:00 - 01.01.2022 16:00,983,0
01.01.2022 16:00 - 01.01.2022 17:00,905,0
01.01.2022 17:00 - 01.01.2022 18:00,80,0
01.01.2022 18:00 - 01.01.2022 19:00,0,700
01.01.2022 19:00 - 01.01.2022 20:00,0,1467
01.01.2022 20:00 - 01.01.2022 21:00,0,1635
01.01.2022 21:00 - 01.01.2022 22:00,0,1342
01.01.2022 22:00 - 01.01.2022 23:00,0,1721
01.01.2022 23:00 - 02.01.2022 00:00,0,2060
02.01.2022 00:00 - 02.01.2022 01:00,0,2666
02.01.2022 01:00 - 02.01.2022 02:00,0,3157
02.01.2022 02:00 - 02.01.2022 03:00,0,2686
02.01.2022 03:00 - 02.01.2022 04:00,0,2735
02.01.2022 04:00 - 02.01.2022 05:00,0,2351
02.01.2022 05:00 - 02.01.2022 06:00,0,2315
02.01.2022 06:00 - 02.01.2022 07:00,0,2277
02.01.2022 07:00 - 02.01.2022 08:00,0,2641
02.01.2022 08:00 - 02.01.2022 09:00,0,2975
02.01.2022 09:00 - 02.01.2022 10:00,0,1954
02.01.2022 10:00 - 02.01.2022 11:00,0,1882
02.01.2022 11:00 - 02.01.2022 12:00,0,1276
02.01.2022 12:00 - 02.01.2022 13:00,0,1705
02.01.2022 13:00 - 02.01.2022 14:00,0,1389
02.01.2022 14:00 - 02.01.2022 15:00,0,1394
02.01.2022 15:00 - 02.01.2022 16:00,0,880
02.01.2022 16:00 - 02.01.2022 17:00,0,392
02.01.2022 17:00 - 02.01.2022 18:00,34,0
02.01.2022 18:00 - 02.01.2022 19:00,0,618
02.01.2022 19:00 - 02.01.2022 20:00,0,1050
02.01.2022 20:00 - 02.01.2022 21:00,0,1135
02.01.2022 21:00 - 02.01.2022 22:00,0,1288
02.01.2022 22:00 - 02.01.2022 23:00,0,1671
02.01.2022 23:00 - 03.01.2022 00:00,0,2426
03.01.2022 00:00 - 03.01.2022 01:00,0,1951
03.01.2022 01:00 - 03.01.2022 02:00,0,1396
03.01.2022 02:00 - 03.01.2022 03:00,0,1227
03.01.2022 03:00 - 03.01.2022 04:00,0,1097
03.01.2022 04:00 - 03.01.2022 05:00,0,1889
03.01.2022 05:00 - 03.01.2022 06:00,0,2890
03.01.2022 06:00 - 03.01.2022 07:00,0,3373
03.01.2022 07:00 - 03.01.2022 08:00,0,2795
03.01.2022 08:00 - 03.01.2022 09:00,0,2179
03.01.2022 09:00 - 03.01.2022 10:00,0,1770
03.01.2022 10:00 - 03.01.2022 11:00,0,2350
03.01.2022 11:00 - 03.01.2022 12:00,0,1898
03.01.2022 12:00 - 03.01.2022 13:00,0,1931
03.01.2022 13:00 - 03.01.2022 14:00,0,1586
03.01.2022 14:00 - 03.01.2022 15:00,0,1255
03.01.2022 15:00 - 03.01.2022 16:00,0,1098
03.01.2022 16:00 - 03.01.2022 17:00,0,1009
03.01.2022 17:00 - 03.01.2022 18:00,0,1658
03.01.2022 18:00 - 03.01.2022 19:00,0,2300
03.01.2022 19:00 - 03.01.2022 20:00,0,2008
03.01.2022 20:00 - 03.01.2022 21:00,0,2057
