Time (CET/CEST),Luxembourg (LU) > Belgium (BE) [MW],Belgium (BE) > Luxembourg (LU) [MW]
01.01.2022 00:00 - 01.01.2022 01:00,77,0
01.01.2022 01:00 - 01.01.2022 02:00,125,0
01.01.2022 02:00 - 01.01.2022 03:00,148,0
01.01.2022 03:00 - 01.01.2022 04:00,87,0
01.01.2022 04:00 - 01.01.2022 05:00,51,0
01.01.2022 05:00 - 01.01.2022 06:00,0,17
01.01.2022 06:00 - 01.01.2022 07:00,25,0
01.01.2022 07:00 - 01.01.2022 08:00,7,0
01.01.2022 08:00 - 01.01.2022 09:00,0,64
01.01.2022 09:00 - 01.01.2022 10:00,0,103
01.01.2022 10:00 - 01.01.2022 11:00,0,103
01.01.2022 11:00 - 01.01.2022 12:00,0,133
01.01.2022 12:00 - 01.01.2022 13:00,0,88
01.01.2022 13:00 - 01.01.2022 14:00,0,100
01.01.2022 14:00 - 01.01.2022 15:00,0,104
01.01.2022 15:00 - 01.01.2022 16:00,0,131
01.01.2022 16:00 - 01.01.2022 17:00,0,81
01.01.2022 17:00 - 01.01.2022 18:00,0,49
01.01.2022 18:00 - 01.01.2022 19:00,26,0
01.01.2022 19:00 - 01.01.2022 20:00,20,0
01.01.2022 20:00 - 01.01.2022 21:00,19,0
01.01.2022 21:00 - 01.01.2022 22:00,0,17
01.01.2022 22:00 - 01.01.2022 23:00,60,0
01.01.2022 23:00 - 02.01.2022 00:00,16,0
02.01.2022 00:00 - 02.01.2022 01:00,0,21
02.01.2022 01:00 - 02.01.2022 02:00,28,0
02.01.2022 02:00 - 02.01.2022 03:00,3,0
02.01.2022 03:00 - 02.01.2022 04:00,0,3
02.01.2022 04:00 - 02.01.2022 05:00,0,67
02.01.2022 05:00 - 02.01.2022 06:00,0,89
02.01.2022 06:00 - 02.01.2022 07:00,0,71
02.01.2022 07:00 - 02.01.2022 08:00,0,59
02.01.2022 08:00 - 02.01.2022 09:00,0,43
02.01.2022 09:00 - 02.01.2022 10:00,0,22
02.01.2022 10:00 - 02.01.2022 11:00,0,62
02.01.2022 11:00 - 02.01.2022 12:00,0,89
02.01.2022 12:00 - 02.01.2022 13:00,0,65
02.01.2022 13:00 - 02.01.2022 14:00,0,106
02.01.2022 14:00 - 02.01.2022 15:00,0,126
02.01.2022 15:00 - 02.01.2022 16:00,0,162
02.01.2022 16:00 - 02.01.2022 17:00,0,118
02.01.2022 17:00 - 02.01.2022 18:00,0,65
02.01.2022 18:00 - 02.01.2022 19:00,0,0
02.01.2022 19:00 - 02.01.2022 20:00,32,0
02.01.2022 20:00 - 02.01.2022 21:00,72,0
02.01.2022 21:00 - 02.01.2022 22:00,132,0
02.01.2022 22:00 - 02.01.2022 23:00,103,0
02.01.2022 23:00 - 03.01.2022 00:00,94,0
03.01.2022 00:00 - 03.01.2022 01:00,69,0
03.01.2022 01:00 - 03.01.2022 02:00,77,0
03.01.2022 02:00 - 03.01.2022 03:00,23,0
03.01.2022 03:00 - 03.01.2022 04:00,26,0
03.01.2022 04:00 - 03.01.2022 05:00,2,0
03.01.2022 05:00 - 03.01.2022 06:00,34,0
03.01.2022 06:00 - 03.01.2022 07:00,102,0
03.01.2022 07:00 - 03.01.2022 08:00,52,0
03.01.2022 08:00 - 03.01.2022 09:00,40,0
03.01.2022 09:00 - 03.01.2022 10:00,101,0
03.01.2022 10:00 - 03.01.2022 11:00,0,6
03.01.2022 11:00 - 03.01.2022 12:00,0,74
03.01.2022 12:00 - 03.01.2022 13:00,0,117
