Time (CET/CEST),Netherlands (NL) > Belgium (BE) [MW],Belgium (BE) > Netherlands (NL) [MW]
01.01.2021 00:00 - 01.01.2021 01:00,1691,0
01.01.2021 01:00 - 01.01.2021 02:00,1418,0
01.01.2021 02:00 - 01.01.2021 03:00,1372,0
01.01.2021 03:00 - 01.01.2021 04:00,662,0
01.01.2021 04:00 - 01.01.2021 05:00,335,0
01.01.2021 05:00 - 01.01.2021 06:00,627,0
01.01.2021 06:00 - 01.01.2021 07:00,863,0
01.01.2021 07:00 - 01.01.2021 08:00,871,0
01.01.2021 08:00 - 01.01.2021 09:00,974,0
01.01.2021 09:00 - 01.01.2021 10:00,1113,0
01.01.2021 10:00 - 01.01.2021 11:00,1407,0
01.01.2021 11:00 - 01.01.2021 12:00,1485,0
01.01.2021 12:00 - 01.01.2021 13:00,1530,0
01.01.2021 13:00 - 01.01.2021 14:00,1287,0
01.01.2021 14:00 - 01.01.2021 15:00,982,0
01.01.2021 15:00 - 01.01.2021 16:00,1041,0
01.01.2021 16:00 - 01.01.2021 17:00,767,0
01.01.2021 17:00 - 01.01.2021 18:00,955,0
01.01.2021 18:00 - 01.01.2021 19:00,1832,0
01.01.2021 19:00 - 01.01.2021 20:00,2272,0
01.01.2021 20:00 - 01.01.2021 21:00,2217,0
01.01.2021 21:00 - 01.01.2021 22:00,2359,0
01.01.2021 22:00 - 01.01.2021 23:00,2676,0
01.01.2021 23:00 - 02.01.2021 00:00,2702,0
02.01.2021 00:00 - 02.01.2021 01:00,2282,0
02.01.2021 01:00 - 02.01.2021 02:00,1893,0
02.01.2021 02:00 - 02.01.2021 03:00,1313,0
02.01.2021 03:00 - 02.01.2021 04:00,1244,0
02.01.2021 04:00 - 02.01.2021 05:00,943,0
02.01.2021 05:00 - 02.01.2021 06:00,1011,0
02.01.2021 06:00 - 02.01.2021 07:00,1098,0
02.01.2021 07:00 - 02.01.2021 08:00,1512,0
02.01.2021 08:00 - 02.01.2021 09:00,1948,0
02.01.2021 09:00 - 02.01.2021 10:00,2475,0
02.01.2021 10:00 - 02.01.2021 11:00,2661,0
02.01.2021 11:00 - 02.01.2021 12:00,2504,0
02.01.2021 12:00 - 02.01.2021 13:00,2292,0
02.01.2021 13:00 - 02.01.2021 14:00,2003,0
02.01.2021 14:00 - 02.01.2021 15:00,1573,0
02.01.2021 15:00 - 02.01.2021 16:00,1390,0
02.01.2021 16:00 - 02.01.2021 17:00,1047,0
02.01.2021 17:00 - 02.01.2021 18:00,1265,0
02.01.2021 18:00 - 02.01.2021 19:00,2054,0
02.01.2021 19:00 - 02.01.2021 20:00,2432,0
02.01.2021 20:00 - 02.01.2021 21:00,2713,0
02.01.2021 21:00 - 02.01.2021 22:00,2841,0
02.01.2021 22:00 - 02.01.2021 23:00,2895,0
02.01.2021 23:00 - 03.01.2021 00:00,2888,0
03.01.2021 00:00 - 03.01.2021 01:00,2534,0
03.01.2021 01:00 - 03.01.2021 02:00,2357,0
