Time (CET/CEST),France (FR) > Belgium (BE) [MW],Belgium (BE) > France (FR) [MW]
01.01.2021 00:00 - 01.01.2021 01:00,0,477
01.01.2021 01:00 - 01.01.2021 02:00,0,645
01.01.2021 02:00 - 01.01.2021 03:00,0,906
01.01.2021 03:00 - 01.01.2021 04:00,0,159
01.01.2021 04:00 - 01.01.2021 05:00,207,0
01.01.2021 05:00 - 01.01.2021 06:00,0,113
01.01.2021 06:00 - 01.01.2021 07:00,0,452
01.01.2021 07:00 - 01.01.2021 08:00,0,544
01.01.2021 08:00 - 01.01.2021 09:00,0,377
01.01.2021 09:00 - 01.01.2021 10:00,0,597
01.01.2021 10:00 - 01.01.2021 11:00,0,665
01.01.2021 11:00 - 01.01.2021 12:00,0,667
01.01.2021 12:00 - 01.01.2021 13:00,0,907
01.01.2021 13:00 - 01.01.2021 14:00,0,579
01.01.2021 14:00 - 01.01.2021 15:00,0,105
01.01.2021 15:00 - 01.01.2021 16:00,486,0
01.01.2021 16:00 - 01.01.2021 17:00,1042,0
01.01.2021 17:00 - 01.01.2021 18:00,695,0
01.01.2021 18:00 - 01.01.2021 19:00,0,7
01.01.2021 19:00 - 01.01.2021 20:00,0,781
01.01.2021 20:00 - 01.01.2021 21:00,0,1085
01.01.2021 21:00 - 01.01.2021 22:00,0,1596
01.01.2021 22:00 - 01.01.2021 23:00,0,1665
01.01.2021 23:00 - 02.01.2021 00:00,0,2056
02.01.2021 00:00 - 02.01.2021 01:00,0,1452
02.01.2021 01:00 - 02.01.2021 02:00,0,858
02.01.2021 02:00 - 02.01.2021 03:00,0,504
02.01.2021 03:00 - 02.01.2021 04:00,0,202
02.01.2021 04:00 - 02.01.2021 05:00,97,0
02.01.2021 05:00 - 02.01.2021 06:00,0,89
02.01.2021 06:00 - 02.01.2021 07:00,0,478
02.01.2021 07:00 - 02.01.2021 08:00,0,1144
02.01.2021 08:00 - 02.01.2021 09:00,0,1525
02.01.2021 09:00 - 02.01.2021 10:00,0,1648
02.01.2021 10:00 - 02.01.2021 11:00,0,1390
02.01.2021 11:00 - 02.01.2021 12:00,0,1159
02.01.2021 12:00 - 02.01.2021 13:00,0,1670
02.01.2021 13:00 - 02.01.2021 14:00,0,1082
02.01.2021 14:00 - 02.01.2021 15:00,0,582
02.01.2021 15:00 - 02.01.2021 16:00,0,276
02.01.2021 16:00 - 02.01.2021 17:00,0,38
02.01.2021 17:00 - 02.01.2021 18:00,200,0
02.01.2021 18:00 - 02.01.2021 19:00,0,688
02.01.2021 19:00 - 02.01.2021 20:00,0,1718
02.01.2021 20:00 - 02.01.2021 21:00,0,2313
02.01.2021 21:00 - 02.01.2021 22:00,0,2615
02.01.2021 22:00 - 02.01.2021 23:00,0,2345
02.01.2021 23:00 - 03.01.2021 00:00,0,2455
03.01.2021 00:00 - 03.01.2021 01:00,0,1603
03.01.2021 01:00 - 03.01.2021 02:00,0,1359
03.01.2021 02:00 - 03.01.2021 03:00,0,1336
03.01.2021 03:00 - 03.01.2021 04:00,0,1406
03.01.2021 04:00 - 03.01.2021 05:00,0,1313
03.01.2021 05:00 - 03.01.2021 06:00,0,1515
03.01.2021 06:00 - 03.01.2021 07:00,0,1886
03.01.2021 07:00 - 03.01.2021 08:00,0,2595
03.01.2021 08:00 - 03.01.2021 09:00,0,2608
03.01.2021 09:00 - 03.01.2021 10:00,0,2404
03.01.2021 10:00 - 03.01.2021 11:00,0,2378
03.01.2021 11:00 - 03.01.2021 12:00,0,2364
03.01.2021 12:00 - 03.01.2021 13:00,0,2586
03.01.2021 13:00 - 03.01.2021 14:00,0,2495
03.01.2021 14:00 - 03.01.2021 15:00,0,2490
03.01.2021 15:00 - 03.01.2021 16:00,0,2294
03.01.2021 16:00 - 03.01.2021 17:00,0,1999
03.01.2021 17:00 - 03.01.2021 18:00,0,2032
03.01.2021 18:00 - 03.01.2021 19:00,0,3247
03.01.2021 19:00 - 03.01.2021 20:00,0,3238
03.01.2021 20:00 - 03.01.2021 21:00,0,3113
03.01.2021 21:00 - 03.01.2021 22:00,0,2894
03.01.2021 22:00 - 03.01.2021 23:00,0,2586
03.01.2021 23:00 - 04.01.2021 00:00,0,2757
04.01.2021 00:00 - 04.01.2021 01:00,0,2123
04.01.2021 01:00 - 04.01.2021 02:00,0,2370
04.01.2021 02:00 - 04.01.2021 03:00,0,2279
04.01.2021 03:00 - 04.01.2021 04:00,0,2173
04.01.2021 04:00 - 04.01.2021 05:00,0,1949
04.01.2021 05:00 - 04.01.2021 06:00,0,1695
04.01.2021 06:00 - 04.01.2021 07:00,0,2713
04.01.2021 07:00 - 04.01.2021 08:00,0,2973
04.01.2021 08:00 - 04.01.2021 09:00,0,2972
04.01.2021 09:00 - 04.01.2021 10:00,0,2698
04.01.2021 10:00 - 04.01.2021 11:00,0,2773
04.01.2021 11:00 - 04.01.2021 12:00,0,2389
04.01.2021 12:00 - 04.01.2021 13:00,0,2915
04.01.2021 13:00 - 04.01.2021 14:00,0,2951
04.01.2021 14:00 - 04.01.2021 15:00,0,2753
04.01.2021 15:00 - 04.01.2021 16:00,0,2326
04.01.2021 16:00 - 04.01.2021 17:00,0,2345
04.01.2021 17:00 - 04.01.2021 18:00,0,2793
04.01.2021 18:00 - 04.01.2021 19:00,0,3293
04.01.2021 19:00 - 04.01.2021 20:00,0,2963
04.01.2021 20:00 - 04.01.2021 21:00,0,3449
04.01.2021 21:00 - 04.01.2021 22:00,0,3422
04.01.2021 22:00 - 04.01.2021 23:00,0,3267
04.01.2021 23:00 - 05.01.2021 00:00,0,3389
05.01.2021 00:00 - 05.01.2021 01:00,0,2895
05.01.2021 01:00 - 05.01.2021 02:00,0,2829
05.01.2021 02:00 - 05.01.2021 03:00,0,2755
05.01.2021 03:00 - 05.01.2021 04:00,0,2638
05.01.2021 04:00 - 05.01.2021 05:00,0,2651
05.01.2021 05:00 - 05.01.2021 06:00,0,2823
05.01.2021 06:00 - 05.01.2021 07:00,0,3232
05.01.2021 07:00 - 05.01.2021 08:00,0,3478
05.01.2021 08:00 - 05.01.2021 09:00,0,3354
05.01.2021 09:00 - 05.01.2021 10:00,0,2931
