Time (CET/CEST),Netherlands (NL) > Belgium (BE) [MW],Belgium (BE) > Netherlands (NL) [MW]
01.01.2022 00:00 - 01.01.2022 01:00,620,0
01.01.2022 01:00 - 01.01.2022 02:00,728,0
01.01.2022 02:00 - 01.01.2022 03:00,1070,0
01.01.2022 03:00 - 01.01.2022 04:00,344,0
01.01.2022 04:00 - 01.01.2022 05:00,154,0
01.01.2022 05:00 - 01.01.2022 06:00,0,352
01.01.2022 06:00 - 01.01.2022 07:00,0,696
01.01.2022 07:00 - 01.01.2022 08:00,0,868
01.01.2022 08:00 - 01.01.2022 09:00,0,1549
01.01.2022 09:00 - 01.01.2022 10:00,0,2040
01.01.2022 10:00 - 01.01.2022 11:00,0,2033
01.01.2022 11:00 - 01.01.2022 12:00,0,2328
01.01.2022 12:00 - 01.01.2022 13:00,0,2115
01.01.2022 13:00 - 01.01.2022 14:00,0,1989
01.01.2022 14:00 - 01.01.2022 15:00,0,1786
01.01.2022 15:00 - 01.01.2022 16:00,0,1947
01.01.2022 16:00 - 01.01.2022 17:00,0,1674
01.01.2022 17:00 - 01.01.2022 18:00,0,1267
01.01.2022 18:00 - 01.01.2022 19:00,0,922
01.01.2022 19:00 - 01.01.2022 20:00,0,935
01.01.2022 20:00 - 01.01.2022 21:00,0,895
01.01.2022 21:00 - 01.01.2022 22:00,0,938
01.01.2022 22:00 - 01.01.2022 23:00,0,663
01.01.2022 23:00 - 02.01.2022 00:00,0,292
02.01.2022 00:00 - 02.01.2022 01:00,46,0
02.01.2022 01:00 - 02.01.2022 02:00,610,0
02.01.2022 02:00 - 02.01.2022 03:00,71,0
02.01.2022 03:00 - 02.01.2022 04:00,0,2
02.01.2022 04:00 - 02.01.2022 05:00,0,428
02.01.2022 05:00 - 02.01.2022 06:00,0,705
02.01.2022 06:00 - 02.01.2022 07:00,0,703
02.01.2022 07:00 - 02.01.2022 08:00,0,698
02.01.2022 08:00 - 02.01.2022 09:00,0,898
02.01.2022 09:00 - 02.01.2022 10:00,0,846
02.01.2022 10:00 - 02.01.2022 11:00,0,1287
02.01.2022 11:00 - 02.01.2022 12:00,0,1357
02.01.2022 12:00 - 02.01.2022 13:00,0,1046
02.01.2022 13:00 - 02.01.2022 14:00,0,1182
02.01.2022 14:00 - 02.01.2022 15:00,0,1380
02.01.2022 15:00 - 02.01.2022 16:00,0,2030
02.01.2022 16:00 - 02.01.2022 17:00,0,2278
02.01.2022 17:00 - 02.01.2022 18:00,0,2217
02.01.2022 18:00 - 02.01.2022 19:00,0,1462
02.01.2022 19:00 - 02.01.2022 20:00,0,1250
02.01.2022 20:00 - 02.01.2022 21:00,0,1354
02.01.2022 21:00 - 02.01.2022 22:00,0,1516
02.01.2022 22:00 - 02.01.2022 23:00,0,1364
02.01.2022 23:00 - 03.01.2022 00:00,0,530
03.01.2022 00:00 - 03.01.2022 01:00,0,213
03.01.2022 01:00 - 03.01.2022 02:00,0,346
03.01.2022 02:00 - 03.01.2022 03:00,0,773
03.01.2022 03:00 - 03.01.2022 04:00,0,696
03.01.2022 04:00 - 03.01.2022 05:00,0,583
03.01.2022 05:00 - 03.01.2022 06:00,0,271
03.01.2022 06:00 - 03.01.2022 07:00,0,915
03.01.2022 07:00 - 03.01.2022 08:00,0,884
03.01.2022 08:00 - 03.01.2022 09:00,22,0
03.01.2022 09:00 - 03.01.2022 10:00,513,0
03.01.2022 10:00 - 03.01.2022 11:00,0,315
03.01.2022 11:00 - 03.01.2022 12:00,0,302
03.01.2022 12:00 - 03.01.2022 13:00,0,11
03.01.2022 13:00 - 03.01.2022 14:00,0,59
03.01.2022 14:00 - 03.01.2022 15:00,3,0
03.01.2022 15:00 - 03.01.2022 16:00,0,302
03.01.2022 16:00 - 03.01.2022 17:00,0,397
03.01.2022 17:00 - 03.01.2022 18:00,502,0
03.01.2022 18:00 - 03.01.2022 19:00,1027,0
03.01.2022 19:00 - 03.01.2022 20:00,1077,0
03.01.2022 20:00 - 03.01.2022 21:00,828,0
03.01.2022 21:00 - 03.01.2022 22:00,743,0
03.01.2022 22:00 - 03.01.2022 23:00,718,0
03.01.2022 23:00 - 04.01.2022 00:00,811,0
04.01.2022 00:00 - 04.01.2022 01:00,1283,0
04.01.2022 01:00 - 04.01.2022 02:00,563,0
04.01.2022 02:00 - 04.01.2022 03:00,0,193
04.01.2022 03:00 - 04.01.2022 04:00,0,737
04.01.2022 04:00 - 04.01.2022 05:00,0,831
04.01.2022 05:00 - 04.01.2022 06:00,0,1157
04.01.2022 06:00 - 04.01.2022 07:00,0,920
04.01.2022 07:00 - 04.01.2022 08:00,0,671
04.01.2022 08:00 - 04.01.2022 09:00,0,336
04.01.2022 09:00 - 04.01.2022 10:00,0,405
